Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744464 s 	 Throughput = 144.2302 GB/s
Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744464 s 	 Performance = 18.0288 GFLOPS
Alg = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744406 s 	 Throughput = 144.2413 GB/s
Alg = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744406 s 	 Performance = 18.0302 GFLOPS
Alg = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745859 s 	 Throughput = 143.9604 GB/s
Alg = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745859 s 	 Performance = 17.9950 GFLOPS
Alg = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744362 s 	 Throughput = 144.2500 GB/s
Alg = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744362 s 	 Performance = 18.0313 GFLOPS
Alg = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00743875 s 	 Throughput = 144.3444 GB/s
Alg = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00743875 s 	 Performance = 18.0430 GFLOPS
Alg = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744986 s 	 Throughput = 144.1292 GB/s
Alg = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744986 s 	 Performance = 18.0162 GFLOPS
Alg = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744435 s 	 Throughput = 144.2358 GB/s
Alg = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744435 s 	 Performance = 18.0295 GFLOPS
Alg = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744749 s 	 Throughput = 144.1750 GB/s
Alg = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744749 s 	 Performance = 18.0219 GFLOPS
Alg = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745085 s 	 Throughput = 144.1100 GB/s
Alg = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745085 s 	 Performance = 18.0138 GFLOPS
Alg = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745158 s 	 Throughput = 144.0958 GB/s
Alg = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745158 s 	 Performance = 18.0120 GFLOPS
Alg = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744339 s 	 Throughput = 144.2544 GB/s
Alg = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744339 s 	 Performance = 18.0318 GFLOPS
Alg = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745021 s 	 Throughput = 144.1224 GB/s
Alg = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745021 s 	 Performance = 18.0153 GFLOPS
Alg = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744506 s 	 Throughput = 144.2221 GB/s
Alg = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744506 s 	 Performance = 18.0278 GFLOPS
Alg = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744896 s 	 Throughput = 144.1465 GB/s
Alg = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744896 s 	 Performance = 18.0183 GFLOPS
Alg = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744474 s 	 Throughput = 144.2283 GB/s
Alg = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744474 s 	 Performance = 18.0285 GFLOPS
Alg = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744518 s 	 Throughput = 144.2196 GB/s
Alg = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744518 s 	 Performance = 18.0275 GFLOPS
Alg = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745446 s 	 Throughput = 144.0401 GB/s
Alg = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745446 s 	 Performance = 18.0050 GFLOPS
Alg = 0 	 Range = 600 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744909 s 	 Throughput = 144.1441 GB/s
Alg = 0 	 Range = 600 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744909 s 	 Performance = 18.0180 GFLOPS
Alg = 0 	 Range = 700 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744419 s 	 Throughput = 144.2389 GB/s
Alg = 0 	 Range = 700 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744419 s 	 Performance = 18.0299 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03505373 s 	 Throughput = 30.6313 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03505373 s 	 Performance = 3.8289 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02994112 s 	 Throughput = 35.8618 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02994112 s 	 Performance = 4.4827 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02903533 s 	 Throughput = 36.9805 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02903533 s 	 Performance = 4.6226 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03231226 s 	 Throughput = 33.2302 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03231226 s 	 Performance = 4.1538 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03587206 s 	 Throughput = 29.9325 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03587206 s 	 Performance = 3.7416 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03593002 s 	 Throughput = 29.8843 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03593002 s 	 Performance = 3.7355 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03601066 s 	 Throughput = 29.8173 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03601066 s 	 Performance = 3.7272 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03614899 s 	 Throughput = 29.7032 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03614899 s 	 Performance = 3.7129 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03542506 s 	 Throughput = 30.3102 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03542506 s 	 Performance = 3.7888 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03464224 s 	 Throughput = 30.9952 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03464224 s 	 Performance = 3.8744 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03386560 s 	 Throughput = 31.7060 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03386560 s 	 Performance = 3.9632 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03040474 s 	 Throughput = 35.3150 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03040474 s 	 Performance = 4.4144 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02806976 s 	 Throughput = 38.2526 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02806976 s 	 Performance = 4.7816 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02649459 s 	 Throughput = 40.5268 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02649459 s 	 Performance = 5.0659 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02547155 s 	 Throughput = 42.1546 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02547155 s 	 Performance = 5.2693 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02488720 s 	 Throughput = 43.1443 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02488720 s 	 Performance = 5.3930 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02472109 s 	 Throughput = 43.4342 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02472109 s 	 Performance = 5.4293 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03170566 s 	 Throughput = 33.8659 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03170566 s 	 Performance = 4.2332 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03333296 s 	 Throughput = 32.2126 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03333296 s 	 Performance = 4.0266 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03396038 s 	 Throughput = 31.6175 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03396038 s 	 Performance = 3.9522 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03783882 s 	 Throughput = 28.3767 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03783882 s 	 Performance = 3.5471 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03585139 s 	 Throughput = 29.9498 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03585139 s 	 Performance = 3.7437 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03577187 s 	 Throughput = 30.0164 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03577187 s 	 Performance = 3.7520 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03481107 s 	 Throughput = 30.8448 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03481107 s 	 Performance = 3.8556 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03386304 s 	 Throughput = 31.7084 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03386304 s 	 Performance = 3.9635 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03330982 s 	 Throughput = 32.2350 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03330982 s 	 Performance = 4.0294 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03656858 s 	 Throughput = 29.3624 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03656858 s 	 Performance = 3.6703 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03560944 s 	 Throughput = 30.1533 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03560944 s 	 Performance = 3.7692 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03357168 s 	 Throughput = 31.9836 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03357168 s 	 Performance = 3.9979 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03101626 s 	 Throughput = 34.6187 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03101626 s 	 Performance = 4.3273 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02939082 s 	 Throughput = 36.5332 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02939082 s 	 Performance = 4.5667 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02829328 s 	 Throughput = 37.9504 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02829328 s 	 Performance = 4.7438 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02768630 s 	 Throughput = 38.7824 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02768630 s 	 Performance = 4.8478 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02756941 s 	 Throughput = 38.9469 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02756941 s 	 Performance = 4.8684 GFLOPS
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00773002 s 	 Throughput = 138.9055 GB/s
