Alg = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00016666 s 	 Throughput = 0.0983 GB/s
Alg = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00016666 s 	 Performance = 0.0123 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00016752 s 	 Throughput = 0.1956 GB/s
Alg = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00016752 s 	 Performance = 0.0245 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00016646 s 	 Throughput = 0.3937 GB/s
Alg = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00016646 s 	 Performance = 0.0492 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00016666 s 	 Throughput = 0.7865 GB/s
Alg = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00016666 s 	 Performance = 0.0983 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00016982 s 	 Throughput = 1.5436 GB/s
Alg = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00016982 s 	 Performance = 0.1930 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00017024 s 	 Throughput = 3.0797 GB/s
Alg = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00017024 s 	 Performance = 0.3850 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00016672 s 	 Throughput = 6.2894 GB/s
Alg = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00016672 s 	 Performance = 0.7862 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00017213 s 	 Throughput = 12.1837 GB/s
Alg = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00017213 s 	 Performance = 1.5230 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00017520 s 	 Throughput = 23.9401 GB/s
Alg = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00017520 s 	 Performance = 2.9925 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00017958 s 	 Throughput = 46.7113 GB/s
Alg = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00017958 s 	 Performance = 5.8389 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00020243 s 	 Throughput = 82.8783 GB/s
Alg = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00020243 s 	 Performance = 10.3598 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00031158 s 	 Throughput = 107.6898 GB/s
Alg = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00031158 s 	 Performance = 13.4612 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00051920 s 	 Throughput = 129.2544 GB/s
Alg = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00051920 s 	 Performance = 16.1568 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00097520 s 	 Throughput = 137.6310 GB/s
Alg = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00097520 s 	 Performance = 17.2039 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00189274 s 	 Throughput = 141.8240 GB/s
Alg = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00189274 s 	 Performance = 17.7280 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00372154 s 	 Throughput = 144.2606 GB/s
Alg = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00372154 s 	 Performance = 18.0326 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745130 s 	 Throughput = 144.1014 GB/s
Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745130 s 	 Performance = 18.0127 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.01490650 s 	 Throughput = 144.0636 GB/s
Alg = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.01490650 s 	 Performance = 18.0080 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00016765 s 	 Throughput = 0.0977 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00016765 s 	 Performance = 0.0122 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00016365 s 	 Throughput = 0.2002 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00016365 s 	 Performance = 0.0250 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00016387 s 	 Throughput = 0.3999 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00016387 s 	 Performance = 0.0500 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00016403 s 	 Throughput = 0.7991 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00016403 s 	 Performance = 0.0999 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00017136 s 	 Throughput = 1.5298 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00017136 s 	 Performance = 0.1912 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00017949 s 	 Throughput = 2.9210 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00017949 s 	 Performance = 0.3651 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00020240 s 	 Throughput = 5.1807 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00020240 s 	 Performance = 0.6476 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00024026 s 	 Throughput = 8.7288 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00024026 s 	 Performance = 1.0911 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00031261 s 	 Throughput = 13.4171 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00031261 s 	 Performance = 1.6771 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00046026 s 	 Throughput = 18.2260 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00046026 s 	 Performance = 2.2782 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00073830 s 	 Throughput = 22.7240 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00073830 s 	 Performance = 2.8405 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00127373 s 	 Throughput = 26.3435 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00127373 s 	 Performance = 3.2929 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00237882 s 	 Throughput = 28.2110 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00237882 s 	 Performance = 3.5264 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00456960 s 	 Throughput = 29.3719 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00456960 s 	 Performance = 3.6715 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00892390 s 	 Throughput = 30.0805 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00892390 s 	 Performance = 3.7601 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.01771011 s 	 Throughput = 30.3144 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.01771011 s 	 Performance = 3.7893 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03493578 s 	 Throughput = 30.7347 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03493578 s 	 Performance = 3.8418 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.06973082 s 	 Throughput = 30.7968 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.06973082 s 	 Performance = 3.8496 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00016605 s 	 Throughput = 0.0987 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00016605 s 	 Performance = 0.0123 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00016992 s 	 Throughput = 0.1928 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00016992 s 	 Performance = 0.0241 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00017082 s 	 Throughput = 0.3837 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00017082 s 	 Performance = 0.0480 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00016870 s 	 Throughput = 0.7769 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00016870 s 	 Performance = 0.0971 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00017136 s 	 Throughput = 1.5298 GB/s
