Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00467903 s 	 Throughput = 229.4795 GB/s
Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00467903 s 	 Performance = 28.6849 GFLOPS
Alg = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477183 s 	 Throughput = 225.0169 GB/s
Alg = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477183 s 	 Performance = 28.1271 GFLOPS
Alg = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477678 s 	 Throughput = 224.7836 GB/s
Alg = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477678 s 	 Performance = 28.0979 GFLOPS
Alg = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00464496 s 	 Throughput = 231.1629 GB/s
Alg = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00464496 s 	 Performance = 28.8954 GFLOPS
Alg = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00476280 s 	 Throughput = 225.4436 GB/s
Alg = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00476280 s 	 Performance = 28.1804 GFLOPS
Alg = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00476847 s 	 Throughput = 225.1755 GB/s
Alg = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00476847 s 	 Performance = 28.1469 GFLOPS
Alg = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477634 s 	 Throughput = 224.8042 GB/s
Alg = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477634 s 	 Performance = 28.1005 GFLOPS
Alg = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00464304 s 	 Throughput = 231.2584 GB/s
Alg = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00464304 s 	 Performance = 28.9073 GFLOPS
Alg = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477069 s 	 Throughput = 225.0704 GB/s
Alg = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477069 s 	 Performance = 28.1338 GFLOPS
Alg = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477544 s 	 Throughput = 224.8469 GB/s
Alg = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477544 s 	 Performance = 28.1059 GFLOPS
Alg = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477104 s 	 Throughput = 225.0542 GB/s
Alg = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477104 s 	 Performance = 28.1318 GFLOPS
Alg = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00463605 s 	 Throughput = 231.6071 GB/s
Alg = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00463605 s 	 Performance = 28.9509 GFLOPS
Alg = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477799 s 	 Throughput = 224.7265 GB/s
Alg = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00477799 s 	 Performance = 28.0908 GFLOPS
Alg = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00478334 s 	 Throughput = 224.4751 GB/s
Alg = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00478334 s 	 Performance = 28.0594 GFLOPS
Alg = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00473692 s 	 Throughput = 226.6751 GB/s
Alg = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00473692 s 	 Performance = 28.3344 GFLOPS
Alg = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00466695 s 	 Throughput = 230.0734 GB/s
Alg = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00466695 s 	 Performance = 28.7592 GFLOPS
Alg = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00478187 s 	 Throughput = 224.5443 GB/s
Alg = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00478187 s 	 Performance = 28.0680 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01785445 s 	 Throughput = 60.1386 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01785445 s 	 Performance = 7.5173 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01783002 s 	 Throughput = 60.2210 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01783002 s 	 Performance = 7.5276 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782598 s 	 Throughput = 60.2347 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782598 s 	 Performance = 7.5293 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782192 s 	 Throughput = 60.2484 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782192 s 	 Performance = 7.5310 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782829 s 	 Throughput = 60.2269 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782829 s 	 Performance = 7.5284 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782797 s 	 Throughput = 60.2279 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782797 s 	 Performance = 7.5285 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782482 s 	 Throughput = 60.2386 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782482 s 	 Performance = 7.5298 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782243 s 	 Throughput = 60.2467 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782243 s 	 Performance = 7.5308 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782617 s 	 Throughput = 60.2340 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782617 s 	 Performance = 7.5293 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782860 s 	 Throughput = 60.2258 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782860 s 	 Performance = 7.5282 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782778 s 	 Throughput = 60.2286 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782778 s 	 Performance = 7.5286 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01767779 s 	 Throughput = 60.7396 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01767779 s 	 Performance = 7.5925 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01732684 s 	 Throughput = 61.9699 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01732684 s 	 Performance = 7.7462 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01691815 s 	 Throughput = 63.4669 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01691815 s 	 Performance = 7.9334 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01653718 s 	 Throughput = 64.9289 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01653718 s 	 Performance = 8.1161 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01600852 s 	 Throughput = 67.0732 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01600852 s 	 Performance = 8.3841 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01570562 s 	 Throughput = 68.3667 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01570562 s 	 Performance = 8.5458 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01670468 s 	 Throughput = 64.2779 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01670468 s 	 Performance = 8.0347 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01673906 s 	 Throughput = 64.1459 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01673906 s 	 Performance = 8.0182 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01668896 s 	 Throughput = 64.3384 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01668896 s 	 Performance = 8.0423 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01988011 s 	 Throughput = 54.0109 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01988011 s 	 Performance = 6.7514 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01956495 s 	 Throughput = 54.8809 GB/s
