Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00467303 s 	 Throughput = 229.7742 GB/s
Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00467303 s 	 Performance = 28.7218 GFLOPS
Alg = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475930 s 	 Throughput = 225.6094 GB/s
Alg = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475930 s 	 Performance = 28.2012 GFLOPS
Alg = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00474513 s 	 Throughput = 226.2831 GB/s
Alg = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00474513 s 	 Performance = 28.2854 GFLOPS
Alg = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00470774 s 	 Throughput = 228.0801 GB/s
Alg = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00470774 s 	 Performance = 28.5100 GFLOPS
Alg = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475890 s 	 Throughput = 225.6280 GB/s
Alg = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475890 s 	 Performance = 28.2035 GFLOPS
Alg = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00480496 s 	 Throughput = 223.4655 GB/s
Alg = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00480496 s 	 Performance = 27.9332 GFLOPS
Alg = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00476152 s 	 Throughput = 225.5041 GB/s
Alg = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00476152 s 	 Performance = 28.1880 GFLOPS
Alg = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475406 s 	 Throughput = 225.8581 GB/s
Alg = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475406 s 	 Performance = 28.2323 GFLOPS
Alg = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00480276 s 	 Throughput = 223.5675 GB/s
Alg = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00480276 s 	 Performance = 27.9459 GFLOPS
Alg = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475719 s 	 Throughput = 225.7093 GB/s
Alg = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475719 s 	 Performance = 28.2137 GFLOPS
Alg = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475688 s 	 Throughput = 225.7242 GB/s
Alg = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475688 s 	 Performance = 28.2155 GFLOPS
Alg = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475828 s 	 Throughput = 225.6574 GB/s
Alg = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475828 s 	 Performance = 28.2072 GFLOPS
Alg = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00464825 s 	 Throughput = 230.9994 GB/s
Alg = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00464825 s 	 Performance = 28.8749 GFLOPS
Alg = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00480685 s 	 Throughput = 223.3775 GB/s
Alg = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00480685 s 	 Performance = 27.9222 GFLOPS
Alg = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00476030 s 	 Throughput = 225.5617 GB/s
Alg = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00476030 s 	 Performance = 28.1952 GFLOPS
Alg = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00464613 s 	 Throughput = 231.1044 GB/s
Alg = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00464613 s 	 Performance = 28.8881 GFLOPS
Alg = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475192 s 	 Throughput = 225.9597 GB/s
Alg = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475192 s 	 Performance = 28.2450 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782685 s 	 Throughput = 60.2317 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782685 s 	 Performance = 7.5290 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782793 s 	 Throughput = 60.2281 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782793 s 	 Performance = 7.5285 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01783938 s 	 Throughput = 60.1894 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01783938 s 	 Performance = 7.5237 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782577 s 	 Throughput = 60.2354 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782577 s 	 Performance = 7.5294 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782572 s 	 Throughput = 60.2355 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782572 s 	 Performance = 7.5294 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01783509 s 	 Throughput = 60.2039 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01783509 s 	 Performance = 7.5255 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01790263 s 	 Throughput = 59.9768 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01790263 s 	 Performance = 7.4971 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782336 s 	 Throughput = 60.2435 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782336 s 	 Performance = 7.5304 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782727 s 	 Throughput = 60.2303 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782727 s 	 Performance = 7.5288 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01786844 s 	 Throughput = 60.0915 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01786844 s 	 Performance = 7.5114 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01789852 s 	 Throughput = 59.9905 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01789852 s 	 Performance = 7.4988 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01770054 s 	 Throughput = 60.6615 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01770054 s 	 Performance = 7.5827 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01736689 s 	 Throughput = 61.8269 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01736689 s 	 Performance = 7.7284 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01691218 s 	 Throughput = 63.4893 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01691218 s 	 Performance = 7.9362 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01655688 s 	 Throughput = 64.8517 GB/s
