Alg = 0 	 Range = 0 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00480379 s 	 Throughput = 223.5195 GB/s
Alg = 0 	 Range = 0 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00480379 s 	 Performance = 27.9399 GFLOPS
Alg = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00468383 s 	 Throughput = 229.2445 GB/s
Alg = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00468383 s 	 Performance = 28.6556 GFLOPS
Alg = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00461935 s 	 Throughput = 232.4446 GB/s
Alg = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00461935 s 	 Performance = 29.0556 GFLOPS
Alg = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00469450 s 	 Throughput = 228.7233 GB/s
Alg = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00469450 s 	 Performance = 28.5904 GFLOPS
Alg = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475359 s 	 Throughput = 225.8803 GB/s
Alg = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475359 s 	 Performance = 28.2350 GFLOPS
Alg = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00462628 s 	 Throughput = 232.0959 GB/s
Alg = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00462628 s 	 Performance = 29.0120 GFLOPS
Alg = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00476852 s 	 Throughput = 225.1729 GB/s
Alg = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00476852 s 	 Performance = 28.1466 GFLOPS
Alg = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00462624 s 	 Throughput = 232.0980 GB/s
Alg = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00462624 s 	 Performance = 29.0122 GFLOPS
Alg = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475423 s 	 Throughput = 225.8499 GB/s
Alg = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475423 s 	 Performance = 28.2312 GFLOPS
Alg = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475405 s 	 Throughput = 225.8584 GB/s
Alg = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475405 s 	 Performance = 28.2323 GFLOPS
Alg = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00467856 s 	 Throughput = 229.5027 GB/s
Alg = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00467856 s 	 Performance = 28.6878 GFLOPS
Alg = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00462649 s 	 Throughput = 232.0857 GB/s
Alg = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00462649 s 	 Performance = 29.0107 GFLOPS
Alg = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475775 s 	 Throughput = 225.6826 GB/s
Alg = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475775 s 	 Performance = 28.2103 GFLOPS
Alg = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475233 s 	 Throughput = 225.9400 GB/s
Alg = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475233 s 	 Performance = 28.2425 GFLOPS
Alg = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00476485 s 	 Throughput = 225.3465 GB/s
Alg = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00476485 s 	 Performance = 28.1683 GFLOPS
Alg = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475662 s 	 Throughput = 225.7364 GB/s
Alg = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475662 s 	 Performance = 28.2170 GFLOPS
Alg = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475624 s 	 Throughput = 225.7544 GB/s
Alg = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475624 s 	 Performance = 28.2193 GFLOPS
Alg = 0 	 Range = 600 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475427 s 	 Throughput = 225.8481 GB/s
Alg = 0 	 Range = 600 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475427 s 	 Performance = 28.2310 GFLOPS
Alg = 0 	 Range = 700 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475810 s 	 Throughput = 225.6659 GB/s
Alg = 0 	 Range = 700 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00475810 s 	 Performance = 28.2082 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 0 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782250 s 	 Throughput = 60.2464 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 0 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782250 s 	 Performance = 7.5308 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782937 s 	 Throughput = 60.2232 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782937 s 	 Performance = 7.5279 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01786174 s 	 Throughput = 60.1141 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01786174 s 	 Performance = 7.5143 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01783186 s 	 Throughput = 60.2148 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01783186 s 	 Performance = 7.5269 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01783027 s 	 Throughput = 60.2202 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01783027 s 	 Performance = 7.5275 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782608 s 	 Throughput = 60.2343 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782608 s 	 Performance = 7.5293 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782990 s 	 Throughput = 60.2214 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782990 s 	 Performance = 7.5277 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01786769 s 	 Throughput = 60.0941 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01786769 s 	 Performance = 7.5118 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782434 s 	 Throughput = 60.2402 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782434 s 	 Performance = 7.5300 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01783748 s 	 Throughput = 60.1958 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01783748 s 	 Performance = 7.5245 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782809 s 	 Throughput = 60.2275 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782809 s 	 Performance = 7.5284 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782515 s 	 Throughput = 60.2375 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782515 s 	 Performance = 7.5297 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782369 s 	 Throughput = 60.2424 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782369 s 	 Performance = 7.5303 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782758 s 	 Throughput = 60.2292 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782758 s 	 Performance = 7.5287 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01790544 s 	 Throughput = 59.9674 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01790544 s 	 Performance = 7.4959 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01791360 s 	 Throughput = 59.9400 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01791360 s 	 Performance = 7.4925 GFLOPS
