Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744906 s 	 Throughput = 144.1447 GB/s
Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744906 s 	 Performance = 18.0181 GFLOPS
Alg = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745974 s 	 Throughput = 143.9382 GB/s
Alg = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745974 s 	 Performance = 17.9923 GFLOPS
Alg = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745078 s 	 Throughput = 144.1113 GB/s
Alg = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745078 s 	 Performance = 18.0139 GFLOPS
Alg = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745616 s 	 Throughput = 144.0073 GB/s
Alg = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745616 s 	 Performance = 18.0009 GFLOPS
Alg = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744909 s 	 Throughput = 144.1441 GB/s
Alg = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744909 s 	 Performance = 18.0180 GFLOPS
Alg = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744106 s 	 Throughput = 144.2997 GB/s
Alg = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744106 s 	 Performance = 18.0375 GFLOPS
Alg = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744454 s 	 Throughput = 144.2320 GB/s
Alg = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744454 s 	 Performance = 18.0290 GFLOPS
Alg = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745027 s 	 Throughput = 144.1212 GB/s
Alg = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745027 s 	 Performance = 18.0151 GFLOPS
Alg = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745094 s 	 Throughput = 144.1082 GB/s
Alg = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745094 s 	 Performance = 18.0135 GFLOPS
Alg = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744394 s 	 Throughput = 144.2438 GB/s
Alg = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744394 s 	 Performance = 18.0305 GFLOPS
Alg = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744832 s 	 Throughput = 144.1589 GB/s
Alg = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744832 s 	 Performance = 18.0199 GFLOPS
Alg = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744979 s 	 Throughput = 144.1304 GB/s
Alg = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744979 s 	 Performance = 18.0163 GFLOPS
Alg = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745235 s 	 Throughput = 144.0809 GB/s
Alg = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745235 s 	 Performance = 18.0101 GFLOPS
Alg = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745117 s 	 Throughput = 144.1038 GB/s
Alg = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00745117 s 	 Performance = 18.0130 GFLOPS
Alg = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744998 s 	 Throughput = 144.1267 GB/s
Alg = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744998 s 	 Performance = 18.0158 GFLOPS
Alg = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744762 s 	 Throughput = 144.1726 GB/s
Alg = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744762 s 	 Performance = 18.0216 GFLOPS
Alg = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744986 s 	 Throughput = 144.1292 GB/s
Alg = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744986 s 	 Performance = 18.0162 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03506445 s 	 Throughput = 30.6220 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03506445 s 	 Performance = 3.8277 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02990134 s 	 Throughput = 35.9095 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02990134 s 	 Performance = 4.4887 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02904426 s 	 Throughput = 36.9692 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02904426 s 	 Performance = 4.6211 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03222803 s 	 Throughput = 33.3170 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03222803 s 	 Performance = 4.1646 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03591370 s 	 Throughput = 29.8978 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03591370 s 	 Performance = 3.7372 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03599766 s 	 Throughput = 29.8281 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03599766 s 	 Performance = 3.7285 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03600205 s 	 Throughput = 29.8245 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03600205 s 	 Performance = 3.7281 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03612240 s 	 Throughput = 29.7251 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03612240 s 	 Performance = 3.7156 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03551754 s 	 Throughput = 30.2313 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03551754 s 	 Performance = 3.7789 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03462950 s 	 Throughput = 31.0066 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03462950 s 	 Performance = 3.8758 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03394909 s 	 Throughput = 31.6280 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03394909 s 	 Performance = 3.9535 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03044214 s 	 Throughput = 35.2716 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03044214 s 	 Performance = 4.4089 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02809322 s 	 Throughput = 38.2207 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02809322 s 	 Performance = 4.7776 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02647773 s 	 Throughput = 40.5526 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02647773 s 	 Performance = 5.0691 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02548566 s 	 Throughput = 42.1312 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02548566 s 	 Performance = 5.2664 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02490717 s 	 Throughput = 43.1098 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02490717 s 	 Performance = 5.3887 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02473840 s 	 Throughput = 43.4039 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02473840 s 	 Performance = 5.4255 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03173014 s 	 Throughput = 33.8398 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03173014 s 	 Performance = 4.2300 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03338314 s 	 Throughput = 32.1642 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03338314 s 	 Performance = 4.0205 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03392531 s 	 Throughput = 31.6502 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03392531 s 	 Performance = 3.9563 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03794266 s 	 Throughput = 28.2991 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03794266 s 	 Performance = 3.5374 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03581184 s 	 Throughput = 29.9829 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03581184 s 	 Performance = 3.7479 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03586998 s 	 Throughput = 29.9343 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03586998 s 	 Performance = 3.7418 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03488032 s 	 Throughput = 30.7836 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03488032 s 	 Performance = 3.8480 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03382070 s 	 Throughput = 31.7481 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03382070 s 	 Performance = 3.9685 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03327123 s 	 Throughput = 32.2724 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03327123 s 	 Performance = 4.0340 GFLOPS
