Alg = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00021305 s 	 Throughput = 0.0769 GB/s
Alg = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00021305 s 	 Performance = 0.0096 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00023984 s 	 Throughput = 0.1366 GB/s
Alg = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00023984 s 	 Performance = 0.0171 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00022748 s 	 Throughput = 0.2881 GB/s
Alg = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00022748 s 	 Performance = 0.0360 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00020699 s 	 Throughput = 0.6332 GB/s
Alg = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00020699 s 	 Performance = 0.0792 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00020814 s 	 Throughput = 1.2594 GB/s
Alg = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00020814 s 	 Performance = 0.1574 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00023156 s 	 Throughput = 2.2641 GB/s
Alg = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00023156 s 	 Performance = 0.2830 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00025555 s 	 Throughput = 4.1032 GB/s
Alg = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00025555 s 	 Performance = 0.5129 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00036073 s 	 Throughput = 5.8136 GB/s
Alg = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00036073 s 	 Performance = 0.7267 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00040649 s 	 Throughput = 10.3184 GB/s
Alg = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00040649 s 	 Performance = 1.2898 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00052184 s 	 Throughput = 16.0750 GB/s
Alg = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00052184 s 	 Performance = 2.0094 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00103212 s 	 Throughput = 16.2551 GB/s
Alg = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00103212 s 	 Performance = 2.0319 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00033272 s 	 Throughput = 100.8476 GB/s
Alg = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00033272 s 	 Performance = 12.6060 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00080667 s 	 Throughput = 83.1921 GB/s
Alg = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00080667 s 	 Performance = 10.3990 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00078506 s 	 Throughput = 170.9651 GB/s
Alg = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00078506 s 	 Performance = 21.3706 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00125183 s 	 Throughput = 214.4343 GB/s
Alg = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00125183 s 	 Performance = 26.8043 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00237770 s 	 Throughput = 225.7939 GB/s
Alg = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00237770 s 	 Performance = 28.2242 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00467124 s 	 Throughput = 229.8623 GB/s
Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00467124 s 	 Performance = 28.7328 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00060557 s 	 Throughput = 0.0271 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00060557 s 	 Performance = 0.0034 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00053382 s 	 Throughput = 0.0614 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00053382 s 	 Performance = 0.0077 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00051815 s 	 Throughput = 0.1265 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00051815 s 	 Performance = 0.0158 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00052501 s 	 Throughput = 0.2497 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00052501 s 	 Performance = 0.0312 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00058402 s 	 Throughput = 0.4489 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00058402 s 	 Performance = 0.0561 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00056205 s 	 Throughput = 0.9328 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00056205 s 	 Performance = 0.1166 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00048017 s 	 Throughput = 2.1838 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00048017 s 	 Performance = 0.2730 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00064882 s 	 Throughput = 3.2323 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00064882 s 	 Performance = 0.4040 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00059891 s 	 Throughput = 7.0032 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00059891 s 	 Performance = 0.8754 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00079685 s 	 Throughput = 10.5272 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00079685 s 	 Performance = 1.3159 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00085996 s 	 Throughput = 19.5094 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00085996 s 	 Performance = 2.4387 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00077580 s 	 Throughput = 43.2516 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00077580 s 	 Performance = 5.4064 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00136237 s 	 Throughput = 49.2590 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00136237 s 	 Performance = 6.1574 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00240316 s 	 Throughput = 55.8505 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00240316 s 	 Performance = 6.9813 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00452047 s 	 Throughput = 59.3822 GB/s
