Alg = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00016800 s 	 Throughput = 0.0975 GB/s
Alg = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00016800 s 	 Performance = 0.0122 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00016854 s 	 Throughput = 0.1944 GB/s
Alg = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00016854 s 	 Performance = 0.0243 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00016886 s 	 Throughput = 0.3881 GB/s
Alg = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00016886 s 	 Performance = 0.0485 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00016621 s 	 Throughput = 0.7886 GB/s
Alg = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00016621 s 	 Performance = 0.0986 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00016950 s 	 Throughput = 1.5465 GB/s
Alg = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00016950 s 	 Performance = 0.1933 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00016688 s 	 Throughput = 3.1417 GB/s
Alg = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00016688 s 	 Performance = 0.3927 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00017008 s 	 Throughput = 6.1652 GB/s
Alg = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00017008 s 	 Performance = 0.7706 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00017456 s 	 Throughput = 12.0139 GB/s
Alg = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00017456 s 	 Performance = 1.5017 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00017453 s 	 Throughput = 24.0323 GB/s
Alg = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00017453 s 	 Performance = 3.0040 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00017658 s 	 Throughput = 47.5071 GB/s
Alg = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00017658 s 	 Performance = 5.9384 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00020019 s 	 Throughput = 83.8056 GB/s
Alg = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00020019 s 	 Performance = 10.4757 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00031392 s 	 Throughput = 106.8885 GB/s
Alg = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00031392 s 	 Performance = 13.3611 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00052637 s 	 Throughput = 127.4942 GB/s
Alg = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00052637 s 	 Performance = 15.9368 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00097875 s 	 Throughput = 137.1315 GB/s
Alg = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00097875 s 	 Performance = 17.1414 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00189754 s 	 Throughput = 141.4653 GB/s
Alg = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00189754 s 	 Performance = 17.6832 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00371642 s 	 Throughput = 144.4593 GB/s
Alg = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00371642 s 	 Performance = 18.0574 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744723 s 	 Throughput = 144.1800 GB/s
Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00744723 s 	 Performance = 18.0225 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.01491562 s 	 Throughput = 143.9755 GB/s
Alg = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.01491562 s 	 Performance = 17.9969 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00020016 s 	 Throughput = 0.0819 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00020016 s 	 Performance = 0.0102 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00019091 s 	 Throughput = 0.1716 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00019091 s 	 Performance = 0.0215 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00018570 s 	 Throughput = 0.3529 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00018570 s 	 Performance = 0.0441 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00019696 s 	 Throughput = 0.6655 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00019696 s 	 Performance = 0.0832 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00019830 s 	 Throughput = 1.3219 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00019830 s 	 Performance = 0.1652 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00021206 s 	 Throughput = 2.4723 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00021206 s 	 Performance = 0.3090 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00023248 s 	 Throughput = 4.5104 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00023248 s 	 Performance = 0.5638 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00027226 s 	 Throughput = 7.7029 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00027226 s 	 Performance = 0.9629 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00034480 s 	 Throughput = 12.1645 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00034480 s 	 Performance = 1.5206 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00048656 s 	 Throughput = 17.2406 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00048656 s 	 Performance = 2.1551 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00076992 s 	 Throughput = 21.7909 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00076992 s 	 Performance = 2.7239 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00131248 s 	 Throughput = 25.5657 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00131248 s 	 Performance = 3.1957 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00240954 s 	 Throughput = 27.8514 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00240954 s 	 Performance = 3.4814 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00460701 s 	 Throughput = 29.1334 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00460701 s 	 Performance = 3.6417 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00897382 s 	 Throughput = 29.9132 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00897382 s 	 Performance = 3.7391 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.01766704 s 	 Throughput = 30.3883 GB/s
