Alg = 0 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.00073679 s 	 Throughput = 2.1348 GB/s
Alg = 0 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.00073679 s 	 Performance = 45.5414 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 0.00104708 s 	 Throughput = 6.0086 GB/s
Alg = 0 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 0.00104708 s 	 Performance = 256.3658 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 1769472 	 Size = 768 	 Time = 0.00282067 s 	 Throughput = 5.0186 GB/s
Alg = 0 	 Range = 1 	 NbElements = 1769472 	 Size = 768 	 Time = 0.00282067 s 	 Performance = 321.1900 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 3145728 	 Size = 1024 	 Time = 0.00633987 s 	 Throughput = 3.9695 GB/s
Alg = 0 	 Range = 1 	 NbElements = 3145728 	 Size = 1024 	 Time = 0.00633987 s 	 Performance = 338.7267 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 4915200 	 Size = 1280 	 Time = 0.01170932 s 	 Throughput = 3.3581 GB/s
Alg = 0 	 Range = 1 	 NbElements = 4915200 	 Size = 1280 	 Time = 0.01170932 s 	 Performance = 358.2021 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 7077888 	 Size = 1536 	 Time = 0.02005734 s 	 Throughput = 2.8231 GB/s
Alg = 0 	 Range = 1 	 NbElements = 7077888 	 Size = 1536 	 Time = 0.02005734 s 	 Performance = 361.3518 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 9633792 	 Size = 1792 	 Time = 0.03147157 s 	 Throughput = 2.4489 GB/s
Alg = 0 	 Range = 1 	 NbElements = 9633792 	 Size = 1792 	 Time = 0.03147157 s 	 Performance = 365.7005 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 12582912 	 Size = 2048 	 Time = 0.04675032 s 	 Throughput = 2.1532 GB/s
Alg = 0 	 Range = 1 	 NbElements = 12582912 	 Size = 2048 	 Time = 0.04675032 s 	 Performance = 367.4813 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 15925248 	 Size = 2304 	 Time = 0.06637740 s 	 Throughput = 1.9194 GB/s
Alg = 0 	 Range = 1 	 NbElements = 15925248 	 Size = 2304 	 Time = 0.06637740 s 	 Performance = 368.5167 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 19660800 	 Size = 2560 	 Time = 0.09081868 s 	 Throughput = 1.7319 GB/s
Alg = 0 	 Range = 1 	 NbElements = 19660800 	 Size = 2560 	 Time = 0.09081868 s 	 Performance = 369.4662 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 23789568 	 Size = 2816 	 Time = 0.12054326 s 	 Throughput = 1.5788 GB/s
Alg = 0 	 Range = 1 	 NbElements = 23789568 	 Size = 2816 	 Time = 0.12054326 s 	 Performance = 370.4973 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 28311552 	 Size = 3072 	 Time = 0.15642093 s 	 Throughput = 1.4480 GB/s
Alg = 0 	 Range = 1 	 NbElements = 28311552 	 Size = 3072 	 Time = 0.15642093 s 	 Performance = 370.6797 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 33226752 	 Size = 3328 	 Time = 0.19868726 s 	 Throughput = 1.3379 GB/s
Alg = 0 	 Range = 1 	 NbElements = 33226752 	 Size = 3328 	 Time = 0.19868726 s 	 Performance = 371.0308 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 38535168 	 Size = 3584 	 Time = 0.24789998 s 	 Throughput = 1.2436 GB/s
Alg = 0 	 Range = 1 	 NbElements = 38535168 	 Size = 3584 	 Time = 0.24789998 s 	 Performance = 371.4134 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 44236800 	 Size = 3840 	 Time = 0.30467338 s 	 Throughput = 1.1616 GB/s
Alg = 0 	 Range = 1 	 NbElements = 44236800 	 Size = 3840 	 Time = 0.30467338 s 	 Performance = 371.6971 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 50331648 	 Size = 4096 	 Time = 0.36995717 s 	 Throughput = 1.0884 GB/s
Alg = 0 	 Range = 1 	 NbElements = 50331648 	 Size = 4096 	 Time = 0.36995717 s 	 Performance = 371.4996 GFLOPS
Alg = 1 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.00060278 s 	 Throughput = 2.6093 GB/s
Alg = 1 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.00060278 s 	 Performance = 55.6659 GFLOPS
Alg = 1 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 0.00126689 s 	 Throughput = 4.9661 GB/s
Alg = 1 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 0.00126689 s 	 Performance = 211.8860 GFLOPS
