Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.12731030 s 	 Throughput = 0.0124 GB/s
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.12731030 s 	 Performance = 0.2636 GFLOPS
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 1.01718429 s 	 Throughput = 0.0062 GB/s
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 1.01718429 s 	 Performance = 0.2639 GFLOPS
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 1769472 	 Size = 768 	 Time = 3.43209062 s 	 Throughput = 0.0041 GB/s
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 1769472 	 Size = 768 	 Time = 3.43209062 s 	 Performance = 0.2640 GFLOPS
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 3145728 	 Size = 1024 	 Time = 8.23219520 s 	 Throughput = 0.0031 GB/s
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 3145728 	 Size = 1024 	 Time = 8.23219520 s 	 Performance = 0.2609 GFLOPS
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 4915200 	 Size = 1280 	 Time = 16.12685827 s 	 Throughput = 0.0024 GB/s
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 4915200 	 Size = 1280 	 Time = 16.12685827 s 	 Performance = 0.2601 GFLOPS
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 7077888 	 Size = 1536 	 Time = 27.88972906 s 	 Throughput = 0.0020 GB/s
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 7077888 	 Size = 1536 	 Time = 27.88972906 s 	 Performance = 0.2599 GFLOPS
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 9633792 	 Size = 1792 	 Time = 44.38112346 s 	 Throughput = 0.0017 GB/s
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 9633792 	 Size = 1792 	 Time = 44.38112346 s 	 Performance = 0.2593 GFLOPS
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 12582912 	 Size = 2048 	 Time = 65.78374006 s 	 Throughput = 0.0015 GB/s
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 12582912 	 Size = 2048 	 Time = 65.78374006 s 	 Performance = 0.2612 GFLOPS
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 15925248 	 Size = 2304 	 Time = 93.54215242 s 	 Throughput = 0.0014 GB/s
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 15925248 	 Size = 2304 	 Time = 93.54215242 s 	 Performance = 0.2615 GFLOPS
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 19660800 	 Size = 2560 	 Time = 128.77439088 s 	 Throughput = 0.0012 GB/s
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 19660800 	 Size = 2560 	 Time = 128.77439088 s 	 Performance = 0.2606 GFLOPS
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 23789568 	 Size = 2816 	 Time = 171.94382989 s 	 Throughput = 0.0011 GB/s
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 23789568 	 Size = 2816 	 Time = 171.94382989 s 	 Performance = 0.2597 GFLOPS
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 28311552 	 Size = 3072 	 Time = 222.01892352 s 	 Throughput = 0.0010 GB/s
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 28311552 	 Size = 3072 	 Time = 222.01892352 s 	 Performance = 0.2612 GFLOPS
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 33226752 	 Size = 3328 	 Time = 281.94090749 s 	 Throughput = 0.0009 GB/s
Alg = 50 	 NbFPE = 0 	 Range = 1 	 NbElements = 33226752 	 Size = 3328 	 Time = 281.94090749 s 	 Performance = 0.2615 GFLOPS
Alg = 51 	 NbFPE = 2 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.04978624 s 	 Throughput = 0.0316 GB/s
Alg = 51 	 NbFPE = 2 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.04978624 s 	 Performance = 0.6740 GFLOPS
Alg = 51 	 NbFPE = 2 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 0.39286909 s 	 Throughput = 0.0160 GB/s
Alg = 51 	 NbFPE = 2 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 0.39286909 s 	 Performance = 0.6833 GFLOPS
Alg = 51 	 NbFPE = 2 	 Range = 1 	 NbElements = 1769472 	 Size = 768 	 Time = 1.32021251 s 	 Throughput = 0.0107 GB/s
Alg = 51 	 NbFPE = 2 	 Range = 1 	 NbElements = 1769472 	 Size = 768 	 Time = 1.32021251 s 	 Performance = 0.6862 GFLOPS
Alg = 51 	 NbFPE = 2 	 Range = 1 	 NbElements = 3145728 	 Size = 1024 	 Time = 3.21331549 s 	 Throughput = 0.0078 GB/s
Alg = 51 	 NbFPE = 2 	 Range = 1 	 NbElements = 3145728 	 Size = 1024 	 Time = 3.21331549 s 	 Performance = 0.6683 GFLOPS
Alg = 51 	 NbFPE = 2 	 Range = 1 	 NbElements = 4915200 	 Size = 1280 	 Time = 6.17949459 s 	 Throughput = 0.0064 GB/s
Alg = 51 	 NbFPE = 2 	 Range = 1 	 NbElements = 4915200 	 Size = 1280 	 Time = 6.17949459 s 	 Performance = 0.6787 GFLOPS
