Alg = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00020739 s 	 Throughput = 0.0790 GB/s
Alg = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00020739 s 	 Performance = 0.0099 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00026309 s 	 Throughput = 0.1246 GB/s
Alg = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00026309 s 	 Performance = 0.0156 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00020749 s 	 Throughput = 0.3159 GB/s
Alg = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00020749 s 	 Performance = 0.0395 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00020515 s 	 Throughput = 0.6389 GB/s
Alg = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00020515 s 	 Performance = 0.0799 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00021381 s 	 Throughput = 1.2261 GB/s
Alg = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00021381 s 	 Performance = 0.1533 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00029169 s 	 Throughput = 1.7974 GB/s
Alg = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00029169 s 	 Performance = 0.2247 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00032446 s 	 Throughput = 3.2318 GB/s
Alg = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00032446 s 	 Performance = 0.4040 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00035414 s 	 Throughput = 5.9217 GB/s
Alg = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00035414 s 	 Performance = 0.7402 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00040771 s 	 Throughput = 10.2874 GB/s
Alg = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00040771 s 	 Performance = 1.2859 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00063437 s 	 Throughput = 13.2235 GB/s
Alg = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00063437 s 	 Performance = 1.6529 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00096302 s 	 Throughput = 17.4214 GB/s
Alg = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00096302 s 	 Performance = 2.1777 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00023471 s 	 Throughput = 142.9625 GB/s
Alg = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00023471 s 	 Performance = 17.8703 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00044273 s 	 Throughput = 151.5810 GB/s
Alg = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00044273 s 	 Performance = 18.9476 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00087695 s 	 Throughput = 153.0511 GB/s
Alg = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00087695 s 	 Performance = 19.1314 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00138898 s 	 Throughput = 193.2606 GB/s
Alg = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00138898 s 	 Performance = 24.1576 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00237967 s 	 Throughput = 225.6071 GB/s
Alg = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00237967 s 	 Performance = 28.2009 GFLOPS
Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00463364 s 	 Throughput = 231.7274 GB/s
Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00463364 s 	 Performance = 28.9659 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00056003 s 	 Throughput = 0.0293 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00056003 s 	 Performance = 0.0037 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00045191 s 	 Throughput = 0.0725 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00045191 s 	 Performance = 0.0091 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00056030 s 	 Throughput = 0.1170 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00056030 s 	 Performance = 0.0146 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00045301 s 	 Throughput = 0.2893 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00045301 s 	 Performance = 0.0362 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00064771 s 	 Throughput = 0.4047 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00064771 s 	 Performance = 0.0506 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00050468 s 	 Throughput = 1.0389 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00050468 s 	 Performance = 0.1299 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00058404 s 	 Throughput = 1.7954 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00058404 s 	 Performance = 0.2244 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00063980 s 	 Throughput = 3.2778 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00063980 s 	 Performance = 0.4097 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00051228 s 	 Throughput = 8.1876 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00051228 s 	 Performance = 1.0234 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00067632 s 	 Throughput = 12.4033 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00067632 s 	 Performance = 1.5504 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00090366 s 	 Throughput = 18.5659 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00090366 s 	 Performance = 2.3207 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00129926 s 	 Throughput = 25.8258 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00129926 s 	 Performance = 3.2282 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00137553 s 	 Throughput = 48.7875 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00137553 s 	 Performance = 6.0984 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00240158 s 	 Throughput = 55.8872 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00240158 s 	 Performance = 6.9859 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00456010 s 	 Throughput = 58.8661 GB/s
