Alg = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00058877 s 	 Throughput = 0.0139 GB/s
Alg = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00050455 s 	 Throughput = 0.0325 GB/s
Alg = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00055713 s 	 Throughput = 0.0588 GB/s
Alg = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00051285 s 	 Throughput = 0.1278 GB/s
Alg = 0 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00051444 s 	 Throughput = 0.2548 GB/s
Alg = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00057147 s 	 Throughput = 0.4587 GB/s
Alg = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00057259 s 	 Throughput = 0.9156 GB/s
Alg = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00057802 s 	 Throughput = 1.8141 GB/s
Alg = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00068456 s 	 Throughput = 3.0635 GB/s
Alg = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00061629 s 	 Throughput = 6.8058 GB/s
Alg = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00071362 s 	 Throughput = 11.7550 GB/s
Alg = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00070741 s 	 Throughput = 23.7165 GB/s
Alg = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00057864 s 	 Throughput = 57.9886 GB/s
Alg = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00106420 s 	 Throughput = 63.0606 GB/s
Alg = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00202721 s 	 Throughput = 66.2083 GB/s
Alg = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00373928 s 	 Throughput = 71.7881 GB/s
Alg = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00743094 s 	 Throughput = 72.2480 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00059743 s 	 Throughput = 0.0137 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00061711 s 	 Throughput = 0.0265 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00055276 s 	 Throughput = 0.0593 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00057525 s 	 Throughput = 0.1139 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00060890 s 	 Throughput = 0.2153 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00054143 s 	 Throughput = 0.4842 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00057171 s 	 Throughput = 0.9170 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00061879 s 	 Throughput = 1.6946 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00050603 s 	 Throughput = 4.1443 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00052498 s 	 Throughput = 7.9894 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00078027 s 	 Throughput = 10.7509 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00037722 s 	 Throughput = 44.4763 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00035715 s 	 Throughput = 93.9500 GB/s
Alg = 1 	 NbFPE = 2 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00047133 s 	 Throughput = 142.3834 GB/s
