19:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00013120 s 	 Throughput = 0.0624 GB/s
52:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00051578 s 	 Throughput = 0.0159 GB/s
85:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00045003 s 	 Throughput = 0.0182 GB/s
118:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00049531 s 	 Throughput = 0.0165 GB/s
151:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00044426 s 	 Throughput = 0.0184 GB/s
184:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00046522 s 	 Throughput = 0.0176 GB/s
217:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00039109 s 	 Throughput = 0.0209 GB/s
250:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00040387 s 	 Throughput = 0.0203 GB/s
283:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00067318 s 	 Throughput = 0.0122 GB/s
316:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00015777 s 	 Throughput = 0.1038 GB/s
349:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00047238 s 	 Throughput = 0.0347 GB/s
382:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00041083 s 	 Throughput = 0.0399 GB/s
415:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00048306 s 	 Throughput = 0.0339 GB/s
448:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00044495 s 	 Throughput = 0.0368 GB/s
481:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00047987 s 	 Throughput = 0.0341 GB/s
514:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00041349 s 	 Throughput = 0.0396 GB/s
547:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00039425 s 	 Throughput = 0.0416 GB/s
