19:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00012391 s 	 Throughput = 0.0661 GB/s
52:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00045404 s 	 Throughput = 0.0180 GB/s
85:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00038810 s 	 Throughput = 0.0211 GB/s
118:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00043064 s 	 Throughput = 0.0190 GB/s
151:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00042437 s 	 Throughput = 0.0193 GB/s
184:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00046951 s 	 Throughput = 0.0174 GB/s
217:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00039012 s 	 Throughput = 0.0210 GB/s
250:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00039635 s 	 Throughput = 0.0207 GB/s
283:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00051579 s 	 Throughput = 0.0159 GB/s
316:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00012513 s 	 Throughput = 0.1309 GB/s
349:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00046666 s 	 Throughput = 0.0351 GB/s
382:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00039319 s 	 Throughput = 0.0417 GB/s
415:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00042291 s 	 Throughput = 0.0387 GB/s
448:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00042917 s 	 Throughput = 0.0382 GB/s
481:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00046119 s 	 Throughput = 0.0355 GB/s
514:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00039412 s 	 Throughput = 0.0416 GB/s
547:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00038938 s 	 Throughput = 0.0421 GB/s
580:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00067817 s 	 Throughput = 0.0242 GB/s
613:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00012437 s 	 Throughput = 0.2635 GB/s
