Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00006797 s 	 Throughput = 0.1205 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00019827 s 	 Throughput = 0.0413 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00014368 s 	 Throughput = 0.0570 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00014339 s 	 Throughput = 0.0571 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00014099 s 	 Throughput = 0.0581 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00015427 s 	 Throughput = 0.0531 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00014374 s 	 Throughput = 0.0570 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00014979 s 	 Throughput = 0.0547 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00023478 s 	 Throughput = 0.0349 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00007498 s 	 Throughput = 0.2185 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00019558 s 	 Throughput = 0.0838 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00014442 s 	 Throughput = 0.1135 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00014371 s 	 Throughput = 0.1140 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00014730 s 	 Throughput = 0.1112 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00015507 s 	 Throughput = 0.1057 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00014019 s 	 Throughput = 0.1169 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00015040 s 	 Throughput = 0.1089 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00023306 s 	 Throughput = 0.0703 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00007126 s 	 Throughput = 0.4598 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00019891 s 	 Throughput = 0.1647 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00014214 s 	 Throughput = 0.2305 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00014022 s 	 Throughput = 0.2337 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00014566 s 	 Throughput = 0.2250 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00015562 s 	 Throughput = 0.2106 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00014531 s 	 Throughput = 0.2255 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00015398 s 	 Throughput = 0.2128 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00023773 s 	 Throughput = 0.1378 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00007005 s 	 Throughput = 0.9356 GB/s
