Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00007494 s 	 Throughput = 0.1093 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00020419 s 	 Throughput = 0.0401 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00013712 s 	 Throughput = 0.0597 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00013904 s 	 Throughput = 0.0589 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00014739 s 	 Throughput = 0.0556 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00015331 s 	 Throughput = 0.0534 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00014038 s 	 Throughput = 0.0584 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00014774 s 	 Throughput = 0.0554 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00023795 s 	 Throughput = 0.0344 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00007011 s 	 Throughput = 0.2337 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00019709 s 	 Throughput = 0.0831 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00014422 s 	 Throughput = 0.1136 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00014445 s 	 Throughput = 0.1134 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00015104 s 	 Throughput = 0.1085 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00015430 s 	 Throughput = 0.1062 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00014352 s 	 Throughput = 0.1142 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00015578 s 	 Throughput = 0.1052 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00023366 s 	 Throughput = 0.0701 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00007062 s 	 Throughput = 0.4640 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00019443 s 	 Throughput = 0.1685 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00014442 s 	 Throughput = 0.2269 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00014038 s 	 Throughput = 0.2334 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00014099 s 	 Throughput = 0.2324 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00015350 s 	 Throughput = 0.2135 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00014483 s 	 Throughput = 0.2262 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00014922 s 	 Throughput = 0.2196 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00023101 s 	 Throughput = 0.1418 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00006656 s 	 Throughput = 0.9846 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00019526 s 	 Throughput = 0.3356 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00013808 s 	 Throughput = 0.4746 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00014995 s 	 Throughput = 0.4370 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00014877 s 	 Throughput = 0.4405 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00015661 s 	 Throughput = 0.4185 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00014115 s 	 Throughput = 0.4643 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00015482 s 	 Throughput = 0.4233 GB/s
